word,val
洪福齐天,50
福如东海,50
福泰安康,10
寿山福海,8
福寿齐天,3
天赐之福,3
福慧双修,5
福禄双全,3
福寿康宁,3
厚德载福,5
福寿绵长,3
福齐南山,40
福禄长久,3
后福无量,3
国利民福,50
阖家幸福,20
福禄寿喜,3
德茂福盛,5
幸福满溢,5
百福呈祥,20
百福具臻,6
五福临门,6
福荫子孙,3
琅嬛福地,3
天降福瑞,2
福寿绵长,5
孝老是福,5
全家福,20
幸福,8
祝福,3
鸿福,3
福泽,3
福庆,3
家福,5
祈福,3
福气,35
福_1,20
福福_2,3
福福_3,2
福福_4,2
福福_5,2
福福_6,2
福福_7,2
福福_8,2
福福_9,2
福福_10,40
福福_11,2
福福_12,2
福福_13,2
福福_14,2
福福_15,2
福福_16,2
福福_17,2
福福_18,2
福福_19,2
福_20,20
福福_21,2
福福_22,2
福福_23,2
福福_24,2
福福_25,2
福福_26,2
福福_27,2
福福_28,2
福福_29,2
福_30,30
福福福_31,2
福福福_32,2
福福福_33,2
福福福福_34,2
福福福福_35,2
福福福福_36,2
福_37,2
福_38,2
福_39,2
福_40,6
福_41,2
福_42,2
福_43,2
福_44,2
福_45,2
福_46,2
福_47,2
福_48,2
福_49,2
福_50,7
福_51,2
福_52,2
福_53,2
福_54,2
福_55,2
福_56,2
福_57,2
福_58,2
福_59,2
福_60,4
福_61,2
福_62,2
福_63,2
福_64,2
福_65,2
福_66,2
福_67,2
福_68,2
福_69,2
福_70,2
福_71,2
福_72,2
福_73,2
福_74,2
福_75,2
福_76,2
福_77,2
福_78,2
福_79,2
福_80,3
福_81,2
福_82,2
福_83,2
福_84,2
福_85,2
福_86,2
福_87,2
福_88,2
福_89,2
福_90,8
福_91,2
福_92,2
福_93,2
福_94,2
福_95,2
福_96,2
福_97,2
福_98,2
福_99,2
福_100,9
福_101,2
福_102,2
福_103,2
福_104,2
福_105,2
福_106,2
福_107,2
福_108,2
福_109,2
福_110,6
福_111,2
福_112,2
福_113,2
福_114,2
福_115,2
福_116,2
福_117,2
福_118,2
福_119,2
福_120,6
福_121,2
福_122,2
福_123,2
福_124,2
福_125,2
福_126,2
福_127,2
福_128,2
福_129,2
福_130,5
福_131,2
福_132,2
福_133,2
福_134,2
福_135,2
福_136,2
福_137,2
福_138,2
福_139,2
福_140,6
福_141,2
福_142,2
福_143,2
福_144,2
福_145,2
福_146,2
福_147,2
福_148,2
福_149,2
福_150,5
福_151,2
福_152,2
福_153,2
福_154,2
福_155,2
福_156,2
福_157,2
福_158,2
福_159,2
福_160,7
福_161,2
福_162,2
福_163,2
福_164,2
福_165,2
福_166,2
福_167,3
福_168,3
福_169,3
福_170,9
福_171,2
福_172,2
福_173,2
福_174,2
福_175,2
福_176,2
福_177,3
福_178,3
福_179,3
福_180,9
福_181,2
福_182,2
福_183,2
福_184,2
福_185,2
福_186,2
福_187,3
福_188,3
福_189,3
福_190,9
福_191,2
福_192,2
福_193,2
福_194,2
福_195,2
福_196,2
福_197,3
福_198,3
福_199,3
福_200,9
福_180,9
福_181,2
福_182,2
福_183,2
福_184,2
福_185,2
福_186,2
福_187,3
福_188,3
福_189,3
福_190,9
福_191,2
福_192,2
福_193,2
福_194,2
福_195,2
福_196,2
福_197,3
福_198,3
福_199,3
福_200,9
福_190,9
福_191,2
福_192,2
福_193,2
福_194,2
福_195,2
福_196,2
福_197,3
福_198,3
福_199,3
福_200,9
福_180,9
福_181,2
福_182,2
福_183,2
福_184,2
福_185,2
福_186,2
福_187,3
福_188,3
福_189,3
福_190,9
福_191,2
福_192,2
福_193,2
福_194,2
福_195,2
福_196,2
福_197,3
福_198,3
福_199,3
福_200,9